election,precinct,note1,note2,note3,note4,note5,first_round_overvote,ranked_single,ranked_multiple,ranked_3_or_more,mean_rankings_used,total_fully_ranked,includes_duplicate_ranking,includes_overvote_ranking,includes_skipped_ranking,total_irregular,total_ballots,total_pretally_exhausted,total_posttally_exhausted,total_posttally_exhausted_by_overvote,total_posttally_exhausted_by_skipped_rankings,total_posttally_exhausted_by_abstention,total_posttally_exhausted_by_rank_limit,total_posttally_exhausted_by_rank_limit_fully_ranked,total_posttally_exhausted_by_rank_limit_partially_ranked,total_posttally_exhausted_by_duplicate_rankings,Precinct Pop.,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or more races
Oakland_11082022_Mayor,333410,,,,,,27.0,244.0,1629.0,1336.0,3.394,691.0,58.0,71.0,26.0,137.0,2004.0,27.0,155.0,12.0,0.0,105.0,38.0,27.0,11.0,0.0,1944.99674,865.99852,250.99955,10.0,448.99926,5.0,71.99996999999999,291.99944
Oakland_11082022_Mayor,362600,,,,,,34.0,318.0,2016.0,1729.0,3.387,790.0,135.0,89.0,21.0,225.0,2405.0,34.0,191.0,15.0,0.0,119.0,57.0,24.0,33.0,0.0,1474.7358900000002,291.59132900000003,603.966945,18.232352,136.22638300000003,8.052103,208.769096,207.897682
Oakland_11082022_Mayor,311400,,,,,,24.0,206.0,1800.0,1588.0,3.532,736.0,73.0,57.0,17.0,138.0,2070.0,24.0,150.0,6.0,0.0,97.0,47.0,27.0,20.0,0.0,1383.520325,593.505679,356.59950200000003,17.929194000000003,144.431854,12.631155,70.644476,187.77846499999998
Oakland_11082022_Mayor,353900,,,,,,21.0,209.0,1157.0,991.0,3.358,485.0,60.0,55.0,12.0,122.0,1435.0,21.0,181.0,13.0,0.0,117.0,51.0,29.0,22.0,0.0,1861.268286,323.29165,257.645825,39.0,923.117483,3.0,147.825833,167.387495
Oakland_11082022_Mayor,213100,,,,,,6.0,133.0,620.0,447.0,2.955,177.0,26.0,18.0,6.0,48.0,803.0,6.0,51.0,2.0,0.0,40.0,9.0,5.0,4.0,0.0,1398.3619939999999,925.74924,48.109407,2.0,174.166415,3.032555,48.522676999999995,196.7817
Oakland_11082022_Mayor,225900,,,,,,10.0,252.0,1717.0,1390.0,3.252,566.0,45.0,24.0,16.0,80.0,2043.0,10.0,102.0,3.0,0.0,80.0,19.0,12.0,7.0,0.0,1131.1805080000001,707.0467499999999,76.15607800000001,3.398978,154.093668,2.1969339999999997,32.398564,155.889536
Oakland_11082022_Mayor,333420,,,,,,6.0,57.0,211.0,182.0,3.33,111.0,9.0,15.0,3.0,25.0,287.0,6.0,35.0,4.0,0.0,23.0,8.0,7.0,1.0,0.0,582.0,128.0,63.0,2.0,270.0,11.0,70.0,38.0
Oakland_11082022_Mayor,345710,,,,,,2.0,17.0,65.0,58.0,3.325,31.0,1.0,2.0,6.0,7.0,85.0,2.0,15.0,0.0,0.0,13.0,2.0,1.0,1.0,0.0,153.0,75.0,16.0,0.0,16.0,1.0,13.0,32.0
Oakland_11082022_Mayor,362100,,,,,,38.0,120.0,610.0,536.0,3.595,360.0,48.0,62.0,10.0,112.0,758.0,38.0,142.0,9.0,0.0,81.0,52.0,36.0,16.0,0.0,1056.769725,115.7218,259.46522500000003,72.395675,114.0,5.0,354.187025,136.0
Oakland_11082022_Mayor,323200,,,,,,20.0,326.0,1959.0,1584.0,3.198,627.0,70.0,58.0,15.0,135.0,2400.0,20.0,184.0,14.0,0.0,130.0,40.0,23.0,17.0,0.0,1720.229232,562.3944,137.94742499999998,32.691722999999996,637.568546,2.0,76.904819,270.72231899999997
Oakland_11082022_Mayor,215700,,,,,,11.0,230.0,1842.0,1541.0,3.322,602.0,45.0,36.0,15.0,92.0,2153.0,11.0,109.0,7.0,0.0,78.0,24.0,15.0,9.0,0.0,1198.6455099999998,673.467348,154.449388,8.333536,151.569532,2.500152,75.16844,133.157114
Oakland_11082022_Mayor,356000,,,,,,52.0,257.0,1335.0,1147.0,3.414,654.0,87.0,94.0,35.0,187.0,1678.0,52.0,224.0,16.0,0.0,144.0,64.0,37.0,27.0,0.0,2092.0,334.0,435.0,50.0,388.0,9.0,639.0,237.0
Oakland_11082022_Mayor,364200,,,,,,10.0,137.0,791.0,623.0,3.19,258.0,28.0,24.0,7.0,57.0,956.0,10.0,51.0,1.0,0.0,46.0,4.0,2.0,2.0,0.0,1016.993618,550.764208,137.034265,2.834806,168.33843700000003,3.2865399999999996,29.489201,125.246161
Oakland_11082022_Mayor,325800,,,,,,35.0,284.0,1971.0,1621.0,3.31,703.0,68.0,58.0,19.0,134.0,2365.0,35.0,197.0,12.0,0.0,134.0,51.0,32.0,19.0,0.0,1486.084081,801.084805,244.51421200000001,6.584785,203.716239,2.0,55.406237999999995,172.777802
Oakland_11082022_Mayor,334000,,,,,,31.0,150.0,1004.0,849.0,3.361,393.0,40.0,62.0,11.0,101.0,1208.0,31.0,114.0,18.0,0.0,63.0,33.0,21.0,12.0,0.0,2258.507913,312.31461700000006,387.991538,45.423013,1027.895042,8.846178,288.969929,187.06759599999998
Oakland_11082022_Mayor,214200,,,,,,12.0,310.0,1592.0,1185.0,3.004,429.0,52.0,35.0,13.0,96.0,1967.0,12.0,98.0,6.0,0.0,82.0,10.0,7.0,3.0,0.0,819.974457,536.578502,36.367126,1.0,115.980472,0.0,17.860689999999998,112.187667
Oakland_11082022_Mayor,213500,,,,,,9.0,380.0,1757.0,1351.0,3.097,572.0,71.0,54.0,20.0,133.0,2254.0,9.0,190.0,14.0,0.0,143.0,33.0,19.0,14.0,0.0,1299.445774,712.46804,61.61202,3.0,296.372694,1.09962,41.471198,183.422202
Oakland_11082022_Mayor,354500,,,,,,78.0,325.0,1861.0,1627.0,3.417,837.0,121.0,135.0,36.0,266.0,2289.0,78.0,270.0,23.0,0.0,170.0,77.0,43.0,34.0,0.0,3262.0,278.0,487.0,185.0,971.0,4.0,1007.0,330.0
Oakland_11082022_Mayor,354000,,,,,,29.0,117.0,463.0,403.0,3.322,237.0,26.0,49.0,10.0,80.0,607.0,29.0,99.0,7.0,0.0,60.0,32.0,22.0,10.0,0.0,2454.0,256.0,359.0,64.0,1201.0,8.0,368.0,198.0
Oakland_11082022_Mayor,337110,,,,,,4.0,17.0,58.0,52.0,3.263,30.0,2.0,6.0,0.0,8.0,89.0,4.0,10.0,2.0,0.0,6.0,2.0,1.0,1.0,0.0,445.0,28.0,4.0,0.0,405.0,0.0,5.0,3.0
Oakland_11082022_Mayor,344800,,,,,,29.0,273.0,1799.0,1455.0,3.252,634.0,79.0,67.0,27.0,156.0,2161.0,29.0,206.0,9.0,0.0,152.0,45.0,34.0,11.0,0.0,890.7490160000001,504.95662599999997,75.124983,6.085465999999999,145.03626,1.694041,34.238622,123.61301799999998
Oakland_11082022_Mayor,337120,,,,,,2.0,17.0,86.0,77.0,3.544,47.0,3.0,3.0,1.0,6.0,111.0,2.0,14.0,1.0,0.0,11.0,2.0,1.0,1.0,0.0,339.0,141.0,75.0,4.0,56.0,0.0,12.0,51.0
Oakland_11082022_Mayor,336100,,,,,,47.0,203.0,1353.0,1167.0,3.532,667.0,79.0,94.0,21.0,173.0,1646.0,47.0,242.0,24.0,0.0,148.0,70.0,47.0,23.0,0.0,1759.985316,582.600609,523.532913,13.66025,139.197488,15.3158,240.31312300000002,245.36513300000001
Oakland_11082022_Mayor,400100,,,,,,8.0,73.0,405.0,328.0,3.297,166.0,15.0,11.0,2.0,27.0,506.0,8.0,46.0,1.0,0.0,37.0,8.0,4.0,4.0,0.0,961.0,525.0,152.0,0.0,113.0,1.0,65.0,105.0
Oakland_11082022_Mayor,362220,,,,,,0.0,0.0,3.0,3.0,4.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,72.0,5.0,18.0,2.0,0.0,1.0,26.0,20.0
Oakland_11082022_Mayor,310000,,,,,,35.0,307.0,2223.0,1924.0,3.412,853.0,95.0,72.0,18.0,177.0,2659.0,35.0,228.0,14.0,0.0,140.0,74.0,56.0,18.0,0.0,1309.558769,491.174892,479.385903,4.631285,172.32809399999996,1.748645,54.699287,105.59066299999999
Oakland_11082022_Mayor,361200,,,,,,33.0,83.0,282.0,244.0,3.353,174.0,33.0,51.0,20.0,88.0,388.0,33.0,93.0,11.0,0.0,51.0,31.0,20.0,11.0,0.0,1699.0,247.0,694.0,27.0,180.0,32.0,322.0,197.0
Oakland_11082022_Mayor,224500,,,,,,23.0,181.0,1089.0,867.0,3.204,358.0,37.0,41.0,11.0,79.0,1323.0,23.0,104.0,4.0,0.0,73.0,27.0,19.0,8.0,0.0,1157.841277,739.516105,55.724626,1.6665139999999998,172.82488700000002,1.2e-05,36.5824,151.526733
Oakland_11082022_Mayor,215800,,,,,,8.0,130.0,981.0,847.0,3.425,381.0,23.0,19.0,8.0,49.0,1149.0,8.0,94.0,4.0,0.0,66.0,24.0,18.0,6.0,0.0,1065.0,558.0,181.0,21.0,107.0,0.0,69.0,129.0
Oakland_11082022_Mayor,335610,,,,,,45.0,200.0,1617.0,1427.0,3.574,762.0,91.0,85.0,18.0,183.0,1922.0,45.0,197.0,15.0,0.0,115.0,67.0,43.0,24.0,0.0,2089.328805,606.677857,550.5757120000001,26.0002,237.610039,21.826096,426.99933799999997,219.639563
Oakland_11082022_Mayor,373500,,,,,,64.0,182.0,759.0,650.0,3.461,461.0,78.0,113.0,35.0,198.0,1002.0,64.0,179.0,19.0,0.0,99.0,61.0,32.0,29.0,0.0,2785.0,170.0,631.0,49.0,71.0,33.0,1485.0,346.0
Oakland_11082022_Mayor,335100,,,,,,30.0,195.0,1081.0,944.0,3.409,480.0,61.0,54.0,16.0,122.0,1343.0,30.0,166.0,9.0,0.0,110.0,47.0,28.0,19.0,0.0,1403.5227169999998,503.761449,491.869702,7.685765000000001,116.05596999999999,3.8703030000000003,120.102918,160.17660999999998
Oakland_11082022_Mayor,224000,,,,,,18.0,524.0,2625.0,1965.0,3.023,736.0,108.0,55.0,21.0,173.0,3255.0,18.0,132.0,4.0,0.0,100.0,28.0,20.0,8.0,0.0,1290.0,841.0,89.0,9.0,154.0,0.0,26.0,171.0
Oakland_11082022_Mayor,364800,,,,,,35.0,224.0,1282.0,1113.0,3.559,677.0,76.0,70.0,13.0,151.0,1557.0,35.0,171.0,12.0,0.0,109.0,50.0,32.0,18.0,0.0,2091.831594,270.072819,975.276041,59.096563,112.41512,6.0,453.45988100000005,215.51117
Oakland_11082022_Mayor,325400,,,,,,26.0,215.0,1541.0,1316.0,3.488,691.0,74.0,55.0,10.0,132.0,1830.0,26.0,147.0,6.0,0.0,91.0,50.0,35.0,15.0,0.0,1147.665406,411.26919000000004,371.94130999999993,12.240320999999998,150.29225,6.20264,62.464490999999995,133.255204
Oakland_11082022_Mayor,355100,,,,,,19.0,113.0,737.0,652.0,3.532,362.0,48.0,43.0,18.0,97.0,887.0,19.0,121.0,13.0,0.0,58.0,50.0,39.0,11.0,0.0,2062.569988,289.64946,294.454774,87.219816,345.710348,10.823813000000001,784.214659,250.49711800000003
Oakland_11082022_Mayor,244000,,,,,,10.0,348.0,1793.0,1340.0,3.05,513.0,62.0,36.0,14.0,109.0,2242.0,10.0,170.0,4.0,0.0,138.0,28.0,16.0,12.0,0.0,1162.669398,683.914362,106.90777100000001,4.130404,164.650417,0.0,35.644982,167.421462
Oakland_11082022_Mayor,223010,,,,,,16.0,363.0,2378.0,1926.0,3.246,793.0,64.0,55.0,15.0,127.0,2888.0,16.0,174.0,8.0,0.0,128.0,38.0,30.0,8.0,0.0,1201.409263,767.595806,86.991559,8.434065,153.873397,0.0,54.513607,130.00082899999998
Oakland_11082022_Mayor,345900,,,,,,8.0,210.0,1162.0,873.0,3.119,368.0,55.0,27.0,8.0,85.0,1411.0,8.0,108.0,5.0,0.0,88.0,15.0,7.0,8.0,0.0,908.8531609999999,411.055877,125.44091200000001,5.0,207.85146900000004,4.0,45.886002000000005,109.618901
Oakland_11082022_Mayor,362800,,,,,,32.0,215.0,1374.0,1157.0,3.448,614.0,80.0,67.0,11.0,148.0,1666.0,32.0,155.0,13.0,0.0,93.0,49.0,31.0,18.0,0.0,1206.26226,380.442157,445.781729,17.767648,106.24739699999999,2.447089,67.537452,186.03878799999998
Oakland_11082022_Mayor,336710,,,,,,41.0,182.0,1138.0,1003.0,3.514,555.0,73.0,78.0,13.0,156.0,1388.0,41.0,200.0,14.0,0.0,117.0,69.0,43.0,26.0,0.0,1366.264898,267.89966300000003,602.136031,11.441680999999999,293.374567,4.977659,70.926094,115.509203
