election,competitive_ratio,upward_monotonicity_failure,downward_monotonicity_failure,compromise_failure,repeal,note1,note2,note3,note4,note5,n_candidates,rank_limit,restrictive_rank_limit,first_round_overvote,ranked_single,ranked_3_or_more,ranked_multiple,total_ballots,condorcet,total_fully_ranked,mean_rankings_used,winner,n_rounds,total_pretally_exhausted,total_posttally_exhausted,total_posttally_exhausted_by_overvote,total_posttally_exhausted_by_skipped_rankings,total_posttally_exhausted_by_abstention,total_posttally_exhausted_by_duplicate_rankings,total_posttally_exhausted_by_rank_limit,total_posttally_exhausted_by_rank_limit_fully_ranked,total_posttally_exhausted_by_rank_limit_partially_ranked,first_round_winner_vote,final_round_winner_vote,first_round_winner_percent,final_round_winner_percent,first_round_winner_place
Maine_06122018_DemocraticPrimaryforGovernor,0.5996080078398432,,,,,,,,,,7,8,0,468.0,15881.0,96592.0,110621.0,132250.0,True,40957.0,4.309,"Mills, Janet T.",7,468.0,8830.0,179.0,0.0,8651.0,0.0,0.0,0.0,0.0,41765.0,63491.0,33.082,54.073,1
Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict41,0.2967741935483871,,,,,,,,,,3,3,0,4.0,390.0,1818.0,2134.0,2638.0,True,1818.0,2.566,"Zager, Samuel Lewis",2,4.0,55.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,1240.0,1398.0,49.206,56.714,1
Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict47,0.6363636363636364,,,,,,,,,,3,3,0,5.0,423.0,1833.0,2073.0,2624.0,True,1833.0,2.562,"Bell, Arthur L.",2,5.0,80.0,2.0,0.0,78.0,0.0,0.0,0.0,0.0,979.0,1275.0,39.254,52.817,1
Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict49,0.6829810901001112,,,,,,,,,,3,3,0,3.0,411.0,1493.0,1761.0,2358.0,True,1493.0,2.497,"Arford, Poppy",2,3.0,95.0,1.0,0.0,94.0,0.0,0.0,0.0,0.0,899.0,1189.0,41.429,57.301,1
Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict90,0.27002967359050445,,,,,,,,,,3,3,0,5.0,358.0,1441.0,1671.0,2083.0,True,1441.0,2.533,"Crafts, Lydia V.",2,5.0,43.0,3.0,0.0,40.0,0.0,0.0,0.0,0.0,1011.0,1144.0,49.926,57.719,1
Maine_07142020_DemocraticCandidateforMaineStateSenateDistrict11,0.574106364428945,,,,,,,,,,3,3,0,13.0,950.0,3824.0,4342.0,5723.0,True,3824.0,2.541,"Curry, Glenn Chip",2,13.0,261.0,7.0,0.0,254.0,0.0,0.0,0.0,0.0,2294.0,2807.0,43.422,55.894,1
Maine_07142020_RepublicanCandidateforUSHouseofRepresentativesDistrict2,0.5058377239199157,,,,,,,,,,3,3,0,315.0,18844.0,28287.0,33958.0,58506.0,True,28287.0,2.171,"Crafts, Dale John",2,315.0,4272.0,57.0,0.0,4215.0,0.0,0.0,0.0,0.0,23725.0,28079.0,45.042,58.013,1
Maine_11062018_CongressionalDistrict2,0.14412386910924066,,,,,,,,,,4,5,0,462.0,147923.0,112155.0,142226.0,296077.0,True,76910.0,2.14,"DEM Golden, Jared F.",3,462.0,8233.0,156.0,0.0,8077.0,0.0,0.0,0.0,0.0,132091.0,142558.0,45.564,50.612,2
Maine_11082022_CongressionalDistrict2,0.14200515480734724,,,,,,,,,,3,4,0,1057.0,157159.0,83583.0,160112.0,322778.0,True,80711.0,1.798,"Golden, Jared Forrest",3,1057.0,5110.0,173.0,0.0,4937.0,0.0,0.0,0.0,0.0,153209.0,165296.0,48.365,53.036,1
Minneapolis_08112020_Ward6CityCouncilSpecialElection,0.5572815533980583,,,,,,,,,,12,3,1,25.0,4041.0,3065.0,3705.0,8046.0,True,3065.0,1.871,Jamal Osman,12,25.0,2659.0,23.0,0.0,1095.0,0.0,1541.0,936.0,605.0,2130.0,2791.0,27.544,55.006,1
Minneapolis_11022021_CityCouncilWard1,0.12126600284495022,,,,,,,,,,4,3,0,4.0,5297.0,3595.0,6141.0,12142.0,True,3595.0,1.851,Elliott Payne,4,4.0,501.0,0.0,0.0,501.0,0.0,0.0,0.0,0.0,5510.0,5744.0,48.185,52.533,1
Minneapolis_11022021_CityCouncilWard10,0.5945686133141072,,,,,,,,,,6,3,1,9.0,2117.0,5644.0,8542.0,11345.0,True,5644.0,2.331,Aisha Chughtai,6,9.0,1715.0,3.0,0.0,1258.0,0.0,454.0,345.0,109.0,3932.0,5358.0,36.917,59.96,1
Minneapolis_11022021_CityCouncilWard11,0,,,,,,,,,,5,3,1,4.0,6268.0,3876.0,7109.0,13877.0,True,3876.0,1.821,Emily Koski,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7801.0,7801.0,58.33,58.33,1
Minneapolis_11022021_CityCouncilWard12,0,,,,,,,,,,3,3,0,8.0,8765.0,2732.0,6594.0,16083.0,True,2732.0,1.607,Andrew Johnson,1,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9948.0,9948.0,64.795,64.795,1
Minneapolis_11022021_CityCouncilWard13,0,,,,,,,,,,5,3,1,6.0,7584.0,4186.0,8881.0,17028.0,True,4186.0,1.794,Linea Palmisano,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10896.0,10896.0,66.197,66.197,1
Minneapolis_11022021_CityCouncilWard2,0.97288842544317,,,,,,,,,,5,3,1,12.0,2211.0,4316.0,7316.0,9799.0,False,4316.0,2.22,Robin Wonsley Worlobah,5,12.0,1433.0,4.0,0.0,1181.0,0.0,248.0,150.0,98.0,2761.0,4054.0,29.005,50.136,1
Minneapolis_11022021_CityCouncilWard4,0,,,,,,,,,,3,3,0,3.0,3413.0,2017.0,3848.0,7500.0,True,2017.0,1.807,LaTrisha Vetaw,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4399.0,4399.0,60.601,60.601,1
Minneapolis_11022021_CityCouncilWard5,0.8057204533189423,,,,,,,,,,7,3,1,8.0,1956.0,2406.0,3529.0,5616.0,True,2406.0,2.081,Jeremiah Ellison,7,8.0,1344.0,8.0,0.0,956.0,0.0,380.0,164.0,216.0,1750.0,2114.0,31.934,51.112,1
Minneapolis_11022021_CityCouncilWard6,0,,,,,,,,,,2,3,0,5.0,4619.0,82.0,1692.0,6871.0,True,1652.0,1.281,Jamal Osman,1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3749.0,3749.0,59.432,59.432,1
Minneapolis_11022021_CityCouncilWard7,0,,,,,,,,,,4,3,0,1.0,6067.0,3296.0,5588.0,12329.0,True,3296.0,1.762,Lisa Goodman,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7214.0,7214.0,61.901,61.901,1
Minneapolis_11022021_CityCouncilWard8,0,,,,,,,,,,2,3,0,0,9582.0,105.0,1066.0,11326.0,True,723.0,1.11,Andrea Jenkins,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9044.0,9044.0,84.936,84.936,1
Minneapolis_11022021_CityCouncilWard9,0,,,,,,,,,,8,3,1,1.0,2909.0,2463.0,3784.0,6983.0,True,2463.0,1.933,Jason Chavez,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3799.0,3799.0,56.769,56.769,1
Minneapolis_11022021_Mayor,0.11751523843671567,,,,,,,,,,18,3,1,154.0,38820.0,66858.0,105154.0,145337.0,True,66858.0,2.194,Jacob Frey,17,154.0,13409.0,50.0,0.0,7043.0,0.0,6316.0,4946.0,1370.0,61606.0,68856.0,42.819,52.777,1
Minneapolis_11022021_ParkBoardAtLarge,0.47846446398859044,,,,,,,,,,7,3,1,208.0,30740.0,59589.0,75910.0,145337.0,True,59589.0,2.268,Meg Forney,7,208.0,27651.0,31.0,0.0,18340.0,0.0,9280.0,7905.0,1375.0,31591.0,47790.0,29.642,60.552,1
Minneapolis_11022021_ParkBoardDistrict1,0,,,,,,,,,,1,3,0,3.0,14462.0,0,267.0,24351.0,True,14488.0,1.018,Billy Menz,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14445.0,14445.0,98.078,98.078,1
Minneapolis_11022021_ParkBoardDistrict2,0.6793756967670012,,,,,,,,,,3,3,0,3.0,4839.0,4289.0,5972.0,15345.0,True,4289.0,1.949,Becka Thompson,3,3.0,1394.0,1.0,0.0,1393.0,0.0,0.0,0.0,0.0,4479.0,5279.0,41.442,56.076,1
Minneapolis_11022021_ParkBoardDistrict3,0,,,,,,,,,,3,3,0,9.0,9750.0,3282.0,5504.0,19233.0,True,3282.0,1.576,Becky Alper,1,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9073.0,9073.0,59.503,59.503,1
