election,competitive_ratio,upward_monotonicity_failure,downward_monotonicity_failure,compromise_failure,repeal,note1,note2,note3,note4,note5,n_candidates,rank_limit,restrictive_rank_limit,first_round_overvote,ranked_single,ranked_3_or_more,ranked_multiple,total_ballots,condorcet,total_fully_ranked,mean_rankings_used,winner,n_rounds,total_pretally_exhausted,total_posttally_exhausted,total_posttally_exhausted_by_overvote,total_posttally_exhausted_by_skipped_rankings,total_posttally_exhausted_by_abstention,total_posttally_exhausted_by_duplicate_rankings,total_posttally_exhausted_by_rank_limit,total_posttally_exhausted_by_rank_limit_fully_ranked,total_posttally_exhausted_by_rank_limit_partially_ranked,first_round_winner_vote,final_round_winner_vote,first_round_winner_percent,final_round_winner_percent,first_round_winner_place
Minneapolis_11072017_PRBoardDistrict1,0.43930817610062894,,,,,,,,,,3,3,0,6.0,5372.0,6020.0,8931.0,17785.0,True,6020.0,2.045,Chris Meyer,3,6.0,1261.0,0.0,0.0,1261.0,0.0,0.0,0.0,0.0,6357.0,7209.0,44.455,55.288,1
Minneapolis_11072017_PRBoardDistrict2,0,,,,,,,,,,2,3,0,5.0,4281.0,358.0,4653.0,11162.0,True,4558.0,1.561,Kale Severson,1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5088.0,5088.0,56.976,56.976,1
Minneapolis_11072017_PRBoardDistrict3,0.2922187764307866,,,,,,,,,,3,3,0,20.0,7455.0,4349.0,7175.0,16601.0,True,4349.0,1.786,AK Hassan,3,20.0,1036.0,2.0,0.0,1034.0,0.0,0.0,0.0,0.0,7091.0,7750.0,48.485,57.031,1
Minneapolis_11072017_PRBoardDistrict4,0,,,,,,,,,,2,3,0,4.0,7347.0,411.0,6166.0,18167.0,True,6034.0,1.486,Jono Cowgill,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6794.0,6794.0,50.285,50.285,1
Minneapolis_11072017_PRBoardDistrict5,0,,,,,,,,,,3,3,0,5.0,6489.0,6290.0,9749.0,20615.0,True,6290.0,1.988,Steffanie Musich,1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9466.0,9466.0,58.306,58.306,1
Minneapolis_11072017_PRBoardDistrict6,0.2945698596705308,,,,,,,,,,4,3,0,3.0,8415.0,5617.0,10073.0,21598.0,True,5617.0,1.849,Brad Bourn,4,3.0,1230.0,1.0,0.0,1229.0,0.0,0.0,0.0,0.0,8083.0,8784.0,43.727,50.907,1
Minneapolis_11072017_Ward10CityCouncil,0,,,,,,,,,,4,3,0,0,2400.0,4001.0,5196.0,7911.0,True,4001.0,2.211,Lisa Bender,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4886.0,4886.0,64.323,64.323,1
Minneapolis_11072017_Ward11CityCouncil,0.8344678217821783,,,,,,,,,,3,3,0,0,2070.0,4789.0,7090.0,9592.0,True,4789.0,2.297,Jeremy Schroeder,3,0.0,423.0,2.0,0.0,421.0,0.0,0.0,0.0,0.0,3230.0,4756.0,35.262,54.435,1
Minneapolis_11072017_Ward12CityCouncil,0,,,,,,,,,,3,3,0,0,6239.0,2757.0,3945.0,10704.0,True,2757.0,1.658,Andrew Johnson,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8875.0,8875.0,87.147,87.147,1
Minneapolis_11072017_Ward13CityCouncil,0,,,,,,,,,,2,3,0,2.0,8351.0,241.0,2964.0,11742.0,True,2739.0,1.283,Linea Palmisano,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9410.0,9410.0,83.179,83.179,1
Minneapolis_11072017_Ward1CityCouncil,0.21273948743468524,,,,,,,,,,3,3,0,0,2425.0,3503.0,6309.0,8864.0,True,3503.0,2.123,Kevin Reich,3,0.0,326.0,0.0,0.0,326.0,0.0,0.0,0.0,0.0,4015.0,4296.0,45.97,51.094,1
Minneapolis_11072017_Ward2CityCouncil,0,,,,,,,,,,1,3,0,1.0,5934.0,0,156.0,7034.0,True,5951.0,1.025,Cam Gordon,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5923.0,5923.0,97.258,97.258,1
Minneapolis_11072017_Ward4CityCouncil,0.31118240146654447,,,,,,,,,,4,3,0,3.0,1582.0,2545.0,3681.0,5349.0,True,2545.0,2.182,Phillipe M. Cunningham,4,3.0,228.0,0.0,0.0,228.0,0.0,0.0,0.0,0.0,2139.0,2604.0,40.65,51.728,2
Minneapolis_11072017_Ward5CityCouncil,0.2339382050024522,,,,,,,,,,4,3,0,3.0,1166.0,2268.0,3050.0,4278.0,True,2268.0,2.261,Jeremiah Ellison,4,3.0,134.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,1986.0,2311.0,47.129,56.642,1
Minneapolis_11072017_Ward6CityCouncil,0,,,,,,,,,,4,3,0,6.0,4947.0,894.0,2287.0,7397.0,True,894.0,1.439,Abdi Warsame,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3628.0,3628.0,50.166,50.166,1
Minneapolis_11072017_Ward7CityCouncil,0,,,,,,,,,,4,3,0,3.0,2826.0,4067.0,6264.0,9255.0,True,4067.0,2.137,Lisa Goodman,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4750.0,4750.0,52.272,52.272,1
Minneapolis_11072017_Ward8CityCouncil,0,,,,,,,,,,4,3,0,1.0,2212.0,3418.0,5686.0,8275.0,True,3418.0,2.153,Andrea Jenkins,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5766.0,5766.0,73.015,73.015,1
Minneapolis_11072017_Ward9CityCouncil,0.4211915535444947,,,,,,,,,,4,3,0,3.0,1568.0,2680.0,3951.0,5650.0,True,2680.0,2.201,Alondra Cano,4,3.0,604.0,1.0,0.0,603.0,0.0,0.0,0.0,0.0,2622.0,2980.0,47.534,60.668,1
Minnetonka_11022021_CityCouncilAtLargeSeatA,0,,,,,,,,,,5,3,1,20.0,3202.0,4412.0,7585.0,11350.0,True,4412.0,2.11,Deb Calvert,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5884.0,5884.0,54.583,54.583,1
Minnetonka_11022021_CityCouncilAtLargeSeatB,0.3320018796992481,,,,,,,,,,5,3,1,17.0,2972.0,4213.0,7192.0,11350.0,True,4213.0,2.12,Kimberly Wilburn,3,17.0,847.0,1.0,0.0,656.0,0.0,190.0,0.0,190.0,4139.0,4914.0,40.746,52.776,1
Minnetonka_11022021_Mayor,0,,,,,,,,,,2,3,0,5.0,8395.0,0,2619.0,11350.0,True,2619.0,1.238,Brad Wiersum,1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6905.0,6905.0,62.716,62.716,1
NewYorkCity_06222021_CONCouncilMember19thCouncilDistrict,0,,,,,,,,,,2,3,0,0,73.0,7.0,48.0,200016.0,True,42.0,1.455,John-Alexander Sakelos,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,107.0,88.43,88.43,1
NewYorkCity_06222021_DEMBoroughPresidentBronx,0.3835543024908544,,,,,,,,,,5,5,0,757.0,34820.0,49508.0,67017.0,127235.0,True,32435.0,2.836,Vanessa L. Gibson,5,757.0,9105.0,137.0,0.0,8968.0,0.0,0.0,0.0,0.0,40097.0,49401.0,39.519,53.489,1
NewYorkCity_06222021_DEMBoroughPresidentKings,0.7276035834266518,,,,,,,,,,12,5,1,1015.0,95126.0,138180.0,194825.0,336070.0,True,79843.0,2.754,Antonio Reynoso,12,1015.0,92720.0,638.0,0.0,75383.0,0.0,16699.0,13806.0,2893.0,80867.0,107963.0,27.936,54.871,1
NewYorkCity_06222021_DEMBoroughPresidentNewYork,0.4881993006993007,,,,,,,,,,7,5,1,435.0,75364.0,114737.0,162604.0,267513.0,True,57054.0,2.719,Mark D. Levine,7,435.0,50352.0,271.0,0.0,46732.0,0.0,3349.0,2500.0,849.0,67375.0,100718.0,28.341,53.751,1
NewYorkCity_06222021_DEMBoroughPresidentQueens,0.42620914139469007,,,,,,,,,,3,4,0,476.0,80135.0,77349.0,115699.0,266164.0,True,76387.0,2.002,Donovan J. Richards Jr.,3,476.0,12216.0,66.0,0.0,12150.0,0.0,0.0,0.0,0.0,80320.0,92222.0,41.065,50.291,1
NewYorkCity_06222021_DEMBoroughPresidentRichmond,0.15797003237708004,,,,,,,,,,5,5,0,75.0,9984.0,13317.0,18491.0,43503.0,True,8375.0,2.763,Mark S. Murphy,3,75.0,776.0,5.0,0.0,771.0,0.0,0.0,0.0,0.0,13221.0,13835.0,46.5,50.025,1
NewYorkCity_06222021_DEMComptrollerCitywide,0.5262517086816925,,,,,,,,,,10,5,1,3193.0,283433.0,427799.0,586261.0,1040485.0,True,241251.0,2.786,Brad Lander,10,3193.0,211494.0,1471.0,0.0,182701.0,0.0,27322.0,21655.0,5667.0,268064.0,340944.0,30.88,51.926,1
NewYorkCity_06222021_DEMCouncilMember10thCouncilDistrict,0.46406594682456753,,,,,,,,,,8,5,1,125.0,6360.0,9762.0,13270.0,267513.0,True,5084.0,2.746,Carmen N. De La Rosa,8,125.0,2316.0,24.0,0.0,2096.0,0.0,196.0,134.0,62.0,7910.0,10318.0,40.392,59.756,1
NewYorkCity_06222021_DEMCouncilMember11thCouncilDistrict,0.153054744061984,,,,,,,,,,7,5,1,91.0,4486.0,9339.0,12572.0,127235.0,True,4946.0,2.948,Eric Dinowitz,6,91.0,701.0,12.0,0.0,666.0,0.0,23.0,0.0,23.0,7509.0,8316.0,44.15,50.997,1
NewYorkCity_06222021_DEMCouncilMember12thCouncilDistrict,0.4248897144183887,,,,,,,,,,3,4,0,68.0,6096.0,8966.0,11337.0,127235.0,True,8800.0,2.179,Kevin Riley,3,68.0,1161.0,13.0,0.0,1148.0,0.0,0.0,0.0,0.0,8588.0,9595.0,49.359,59.09,1
NewYorkCity_06222021_DEMCouncilMember13thCouncilDistrict,0,,,,,,,,,,5,5,0,44.0,4209.0,4351.0,5776.0,127235.0,True,3175.0,2.694,Marjorie Velazquez,1,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5608.0,5608.0,56.305,56.305,1
NewYorkCity_06222021_DEMCouncilMember14thCouncilDistrict,0.5228514654744163,,,,,,,,,,6,5,0,163.0,3068.0,5052.0,6399.0,127235.0,True,3421.0,2.972,Pierina Ana Sanchez,6,163.0,1541.0,28.0,0.0,1513.0,0.0,0.0,0.0,0.0,3569.0,4887.0,38.029,62.302,1
NewYorkCity_06222021_DEMCouncilMember15thCouncilDistrict,0.3506455399061033,,,,,,,,,,8,5,1,94.0,2640.0,4451.0,5615.0,127235.0,True,3102.0,3.017,Oswald Feliz,7,94.0,953.0,19.0,0.0,897.0,0.0,37.0,3.0,34.0,3165.0,3791.0,38.579,52.282,1
NewYorkCity_06222021_DEMCouncilMember16thCouncilDistrict,0,,,,,,,,,,4,5,0,82.0,3975.0,4623.0,6178.0,127235.0,True,3693.0,2.454,Althea V. Stevens,1,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5125.0,5125.0,50.682,50.682,1
NewYorkCity_06222021_DEMCouncilMember17thCouncilDistrict,0,,,,,,,,,,2,3,0,43.0,4524.0,285.0,4537.0,127235.0,True,4491.0,1.527,Rafael Salamanca Jr.,1,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5428.0,5428.0,59.985,59.985,1
NewYorkCity_06222021_DEMCouncilMember18thCouncilDistrict,0.4689695550351288,,,,,,,,,,8,5,1,145.0,3838.0,8024.0,10230.0,127235.0,True,5407.0,3.114,Amanda Farias,8,145.0,2513.0,38.0,0.0,2253.0,0.0,222.0,102.0,120.0,3852.0,6004.0,27.546,52.341,1
NewYorkCity_06222021_DEMCouncilMember19thCouncilDistrict,0.5373925763393673,,,,,,,,,,6,5,0,46.0,4424.0,5647.0,8688.0,266164.0,True,2855.0,2.586,Tony Avella,6,46.0,1340.0,16.0,0.0,1324.0,0.0,0.0,0.0,0.0,4992.0,6429.0,38.148,54.734,1
NewYorkCity_06222021_DEMCouncilMember1stCouncilDistrict,0.2689157145936624,,,,,,,,,,9,5,1,44.0,6272.0,11721.0,15592.0,267513.0,True,5621.0,2.85,Christopher Marte,8,44.0,2315.0,6.0,0.0,2217.0,0.0,92.0,76.0,16.0,8598.0,9801.0,39.379,50.213,1
NewYorkCity_06222021_DEMCouncilMember20thCouncilDistrict,0.5936376210235131,,,,,,,,,,8,5,1,53.0,2964.0,5649.0,7687.0,266164.0,True,3290.0,2.945,Sandra Ung,8,53.0,3025.0,17.0,0.0,2894.0,0.0,114.0,72.0,42.0,2370.0,4205.0,22.283,55.249,1
NewYorkCity_06222021_DEMCouncilMember21stCouncilDistrict,0,,,,,,,,,,5,5,0,41.0,2745.0,2865.0,4116.0,266164.0,True,1834.0,2.601,Francisco P. Moya,1,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3533.0,3533.0,51.584,51.584,1
NewYorkCity_06222021_DEMCouncilMember22ndCouncilDistrict,0.10953624269551163,,,,,,,,,,6,5,0,35.0,4204.0,8066.0,12054.0,393399.0,True,4061.0,2.809,Tiffany Caban,4,35.0,361.0,9.0,0.0,352.0,0.0,0.0,0.0,0.0,7934.0,8372.0,48.855,52.724,1
NewYorkCity_06222021_DEMCouncilMember23rdCouncilDistrict,0.49916943521594687,,,,,,,,,,7,5,1,70.0,4987.0,8583.0,11582.0,266164.0,True,4762.0,2.864,Linda Lee,7,70.0,3361.0,24.0,0.0,3207.0,0.0,130.0,37.0,93.0,4943.0,7173.0,29.91,54.485,1
NewYorkCity_06222021_DEMCouncilMember24thCouncilDistrict,0,,,,,,,,,,4,5,0,63.0,6766.0,5243.0,6674.0,266164.0,True,3333.0,2.153,James F. Gennaro,1,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8062.0,8062.0,60.128,60.128,1
NewYorkCity_06222021_DEMCouncilMember25thCouncilDistrict,0.6041666666666666,,,,,,,,,,8,5,1,93.0,4796.0,7512.0,10156.0,266164.0,True,4292.0,2.826,Shekar Krishnan,8,93.0,3001.0,20.0,0.0,2514.0,0.0,467.0,366.0,101.0,3915.0,6352.0,26.272,53.374,2
NewYorkCity_06222021_DEMCouncilMember26thCouncilDistrict,0.5237778516794147,,,,,,,,,,15,5,1,124.0,3287.0,12443.0,14659.0,266164.0,True,8593.0,3.542,Julie Won,15,124.0,5860.0,29.0,0.0,4188.0,0.0,1643.0,1503.0,140.0,3306.0,6822.0,18.476,56.694,1
NewYorkCity_06222021_DEMCouncilMember27thCouncilDistrict,0.22465876034907137,,,,,,,,,,12,5,1,125.0,4628.0,13370.0,15811.0,266164.0,True,9561.0,3.425,Nantasha M. Williams,10,125.0,2153.0,31.0,0.0,1987.0,0.0,135.0,61.0,74.0,7345.0,9518.0,36.044,52.225,1
NewYorkCity_06222021_DEMCouncilMember28thCouncilDistrict,0,,,,,,,,,,3,4,0,43.0,6042.0,5404.0,8009.0,266164.0,True,5308.0,1.968,Adrienne E. Adams,1,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7490.0,7490.0,53.367,53.367,1
NewYorkCity_06222021_DEMCouncilMember29thCouncilDistrict,0.6970667565745111,,,,,,,,,,9,5,1,63.0,4114.0,9844.0,13044.0,266164.0,True,5336.0,3.047,Lynn C. Schulman,9,63.0,5065.0,23.0,0.0,4438.0,0.0,604.0,518.0,86.0,3942.0,7232.0,23.023,59.982,1
NewYorkCity_06222021_DEMCouncilMember2ndCouncilDistrict,0,,,,,,,,,,2,3,0,24.0,13338.0,264.0,8014.0,267513.0,True,7886.0,1.387,Carlina Rivera,1,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15464.0,15464.0,72.458,72.458,1
NewYorkCity_06222021_DEMCouncilMember30thCouncilDistrict,0,,,,,,,,,,2,3,0,5.0,6539.0,146.0,3075.0,266164.0,True,3009.0,1.335,Robert F. Holden,1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5250.0,5250.0,54.619,54.619,1
NewYorkCity_06222021_DEMCouncilMember31stCouncilDistrict,0,,,,,,,,,,3,4,0,36.0,7850.0,6766.0,8208.0,266164.0,True,6632.0,1.947,Selvena N. Brooks-Powers,1,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10807.0,10807.0,67.413,67.413,1
NewYorkCity_06222021_DEMCouncilMember32ndCouncilDistrict,0.3127815982926251,,,,,,,,,,6,5,0,54.0,4175.0,4366.0,6122.0,266164.0,True,2667.0,2.585,Felicia Singh,6,54.0,1337.0,12.0,0.0,1325.0,0.0,0.0,0.0,0.0,3661.0,4686.0,35.644,52.451,1
NewYorkCity_06222021_DEMCouncilMember33rdCouncilDistrict,0.04310822031552726,,,,,,,,,,8,5,1,52.0,10882.0,13735.0,18374.0,336070.0,True,6781.0,2.657,Lincoln Restler,3,52.0,240.0,1.0,0.0,233.0,0.0,6.0,0.0,6.0,14444.0,14582.0,49.418,50.304,1
NewYorkCity_06222021_DEMCouncilMember34thCouncilDistrict,0,,,,,,,,,,4,5,0,33.0,8532.0,4989.0,7920.0,602234.0,True,3839.0,2.034,Jennifer Gutierrez,1,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13065.0,13065.0,79.48,79.48,1
NewYorkCity_06222021_DEMCouncilMember35thCouncilDistrict,0.3662621194657265,,,,,,,,,,7,5,1,79.0,9437.0,16567.0,25519.0,336070.0,True,8225.0,2.775,Crystal Hudson,7,79.0,4213.0,39.0,0.0,3867.0,0.0,307.0,181.0,126.0,13359.0,16564.0,38.261,53.951,1
NewYorkCity_06222021_DEMCouncilMember36thCouncilDistrict,0.6876803551609323,,,,,,,,,,5,5,0,75.0,7548.0,10095.0,15740.0,336070.0,True,5495.0,2.645,Chi A. Osse,5,75.0,3689.0,23.0,0.0,3666.0,0.0,0.0,0.0,0.0,8520.0,11149.0,36.661,57.025,1
NewYorkCity_06222021_DEMCouncilMember37thCouncilDistrict,0.06332650400447011,,,,,,,,,,6,5,0,41.0,4341.0,4775.0,6554.0,336070.0,True,3041.0,2.645,Sandy Nurse,3,41.0,118.0,4.0,0.0,114.0,0.0,0.0,0.0,0.0,5363.0,5473.0,49.319,50.883,1
NewYorkCity_06222021_DEMCouncilMember38thCouncilDistrict,0.280775878624928,,,,,,,,,,6,5,0,34.0,4410.0,5671.0,7722.0,336070.0,True,2589.0,2.616,Alexa Aviles,5,34.0,985.0,11.0,0.0,974.0,0.0,0.0,0.0,0.0,4806.0,5766.0,39.667,51.801,1
NewYorkCity_06222021_DEMCouncilMember39thCouncilDistrict,0.6528235552625796,,,,,,,,,,7,5,1,60.0,7602.0,20853.0,28524.0,336070.0,True,9087.0,2.997,Shahana K. Hanif,7,60.0,8057.0,15.0,0.0,7792.0,0.0,250.0,168.0,82.0,11599.0,15980.0,32.135,56.994,1
NewYorkCity_06222021_DEMCouncilMember3rdCouncilDistrict,0.1758605790004321,,,,,,,,,,6,5,0,42.0,10367.0,12285.0,18224.0,267513.0,True,6343.0,2.571,Erik D. Bottcher,4,42.0,1187.0,14.0,0.0,1173.0,0.0,0.0,0.0,0.0,13520.0,14173.0,47.342,51.781,1
NewYorkCity_06222021_DEMCouncilMember40thCouncilDistrict,0.7447654386429897,,,,,,,,,,11,5,1,124.0,5765.0,12921.0,16634.0,336070.0,True,7680.0,3.086,Rita C. Joseph,11,124.0,5449.0,32.0,0.0,4561.0,0.0,856.0,686.0,170.0,5648.0,10065.0,25.279,59.577,1
NewYorkCity_06222021_DEMCouncilMember41stCouncilDistrict,0,,,,,,,,,,2,3,0,44.0,7755.0,342.0,7705.0,336070.0,True,7631.0,1.517,Darlene Mealy,1,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8849.0,8849.0,57.286,57.286,1
NewYorkCity_06222021_DEMCouncilMember42ndCouncilDistrict,0.22671052631578947,,,,,,,,,,4,5,0,92.0,5938.0,7092.0,9744.0,336070.0,True,5372.0,2.437,Charles Barron,4,92.0,789.0,20.0,0.0,769.0,0.0,0.0,0.0,0.0,7431.0,7979.0,47.525,53.741,1
NewYorkCity_06222021_DEMCouncilMember45thCouncilDistrict,0,,,,,,,,,,3,4,0,82.0,10160.0,6811.0,9162.0,336070.0,True,6689.0,1.838,Farah N. Louis,1,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14544.0,14544.0,75.369,75.369,1
NewYorkCity_06222021_DEMCouncilMember46thCouncilDistrict,0.47476054879627233,,,,,,,,,,8,5,1,70.0,6064.0,9328.0,12445.0,336070.0,True,5864.0,2.862,Mercedes Narcisse,8,70.0,4446.0,30.0,0.0,4127.0,0.0,289.0,133.0,156.0,6421.0,8940.0,34.746,63.702,1
NewYorkCity_06222021_DEMCouncilMember47thCouncilDistrict,0.31689008042895445,,,,,,,,,,4,5,0,39.0,3539.0,3053.0,4502.0,336070.0,True,2176.0,2.23,Ari Kagan,4,39.0,817.0,7.0,0.0,810.0,0.0,0.0,0.0,0.0,3493.0,4018.0,43.505,55.713,1
NewYorkCity_06222021_DEMCouncilMember48thCouncilDistrict,0.5291787694745181,,,,,,,,,,5,5,0,50.0,2978.0,4264.0,6260.0,336070.0,True,1743.0,2.61,Steven Saperstein,5,50.0,1252.0,19.0,0.0,1233.0,0.0,0.0,0.0,0.0,3033.0,4542.0,32.932,57.075,1
NewYorkCity_06222021_DEMCouncilMember49thCouncilDistrict,0.44822940723633564,,,,,,,,,,9,5,1,63.0,3465.0,8312.0,10303.0,43503.0,True,5475.0,3.218,Kamillah Hanks,9,63.0,3200.0,26.0,0.0,2741.0,0.0,433.0,308.0,125.0,3463.0,5996.0,25.218,56.931,1
NewYorkCity_06222021_DEMCouncilMember5thCouncilDistrict,0.44184297132110956,,,,,,,,,,7,5,1,47.0,7333.0,13619.0,18134.0,267513.0,True,6814.0,2.873,Julie Menin,7,47.0,3868.0,20.0,0.0,3720.0,0.0,128.0,83.0,45.0,8872.0,12083.0,34.88,56.023,1
NewYorkCity_06222021_DEMCouncilMember6thCouncilDistrict,0,,,,,,,,,,6,5,0,55.0,14111.0,17132.0,25321.0,267513.0,True,7090.0,2.512,Gale A. Brewer,1,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21594.0,21594.0,54.808,54.808,1
NewYorkCity_06222021_DEMCouncilMember7thCouncilDistrict,0.41930301532377656,,,,,,,,,,12,5,1,111.0,6068.0,13689.0,17176.0,267513.0,True,8368.0,3.127,Shaun Abreu,11,111.0,4778.0,34.0,0.0,4302.0,0.0,442.0,339.0,103.0,6214.0,9215.0,26.797,50.052,1
NewYorkCity_06222021_DEMCouncilMember8thCouncilDistrict,0,,,,,,,,,,4,5,0,55.0,4854.0,4936.0,6898.0,394748.0,True,4012.0,2.376,Diana I. Ayala,1,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6621.0,6621.0,56.484,56.484,1
NewYorkCity_06222021_DEMCouncilMember9thCouncilDistrict,0.7957698118390331,,,,,,,,,,13,5,1,147.0,5967.0,16114.0,19736.0,267513.0,True,10758.0,3.303,Kristin Richardson Jordan,13,147.0,7696.0,63.0,0.0,5540.0,0.0,2093.0,1896.0,197.0,4873.0,9017.0,19.016,50.29,2
NewYorkCity_06222021_DEMMayorCitywide,0.7182376211381701,,,,,,,,,,13,5,1,5901.0,127610.0,705751.0,817417.0,1040485.0,True,434784.0,3.644,Eric L. Adams,13,5901.0,140202.0,1475.0,0.0,105617.0,0.0,33110.0,28787.0,4323.0,289403.0,404513.0,30.721,50.449,1
NewYorkCity_06222021_DEMPublicAdvocateCitywide,0,,,,,,,,,,3,4,0,2157.0,461075.0,265739.0,358779.0,1040485.0,True,261444.0,1.776,Jumaane D. Williams,1,2157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,572762.0,572762.0,69.958,69.958,1
NewYorkCity_06222021_REPBoroughPresidentQueens,0,,,,,,,,,,2,3,0,74.0,6933.0,518.0,7352.0,201299.0,True,7234.0,1.545,219566,1,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7972.0,7972.0,55.877,55.877,1
NewYorkCity_06222021_REPBoroughPresidentRichmond,0.29462956601397,,,,,,,,,,4,5,0,83.0,7491.0,7216.0,12194.0,19850.0,True,4999.0,2.254,Vito Fossella,4,83.0,1167.0,11.0,0.0,1156.0,0.0,0.0,0.0,0.0,8583.0,9459.0,43.693,51.193,1
NewYorkCity_06222021_REPCouncilMember15thCouncilDistrict,0.19230769230769232,,,,,,,,,,2,3,0,4.0,85.0,11.0,76.0,127235.0,True,75.0,1.521,Ariel Rivera-Diaz,2,4.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,78.0,80.0,49.057,53.691,1
NewYorkCity_06222021_REPCouncilMember19thCouncilDistrict,0,,,,,,,,,,2,3,0,14.0,1788.0,91.0,1633.0,201299.0,True,1614.0,1.498,Vickie Paladino,1,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765.0,1765.0,51.608,51.608,1
NewYorkCity_06222021_REPCouncilMember23rdCouncilDistrict,0,,,,,,,,,,2,3,0,10.0,788.0,59.0,778.0,201299.0,True,771.0,1.527,James F. Reilly,1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1040.0,1040.0,66.496,66.496,1
NewYorkCity_06222021_REPCouncilMember24thCouncilDistrict,0,,,,,,,,,,2,3,0,8.0,405.0,39.0,406.0,201299.0,True,400.0,1.541,Timothy Rosen,1,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478.0,478.0,59.232,59.232,1
NewYorkCity_06222021_REPCouncilMember32ndCouncilDistrict,0,,,,,,,,,,2,3,0,6.0,1745.0,58.0,1155.0,201299.0,True,1141.0,1.415,Joann Ariola,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2378.0,2378.0,82.0,82.0,1
NewYorkCity_06222021_REPCouncilMember50thCouncilDistrict,0.7378607809847199,,,,,,,,,,5,5,0,30.0,4090.0,3026.0,4500.0,19850.0,True,1798.0,2.332,David M. Carr,5,30.0,1383.0,8.0,0.0,1375.0,0.0,0.0,0.0,0.0,2692.0,3618.0,31.386,50.292,2
NewYorkCity_06222021_REPMayorCitywide,0,,,,,,,,,,2,3,0,266.0,29634.0,3565.0,30506.0,660657.0,True,29397.0,1.562,Curtis A. Sliwa,1,266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40794.0,40794.0,67.935,67.935,1
Oakland_11022010_CityAuditor,0,,,,,,,,,,2,3,0,122.0,39215.0,8733.0,58495.0,122268.0,True,56876.0,1.687,COURTNEY RUBY,1,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65335.0,65335.0,66.924,66.924,1
Oakland_11022010_CityCouncilDistrict2,0,,,,,,,,,,2,3,0,11.0,6450.0,964.0,7190.0,15243.0,True,6949.0,1.597,PATRICIA KERNIGHAN,1,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8954.0,8954.0,65.679,65.679,1
Oakland_11022010_CityCouncilDistrict4,0.31203373337658125,,,,,,,,,,7,3,1,46.0,4028.0,13499.0,16997.0,23884.0,True,13499.0,2.449,LIBBY SCHAAF,6,46.0,1323.0,14.0,0.0,738.0,0.0,571.0,317.0,254.0,8756.0,10439.0,41.707,53.068,1
Oakland_11022010_CityCouncilDistrict6,0,,,,,,,,,,3,3,0,12.0,3863.0,7187.0,9056.0,14040.0,True,7187.0,2.257,DESLEY BROOKS,1,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8282.0,8282.0,64.147,64.147,1
