precinct,Total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or more races
457900,914.8230590000001,328.332111,154.66612899999998,16.726777,138.285732,1.346274,162.796698,112.66933800000001
456100,1916.3088619999999,374.946233,303.82766300000003,32.33565,507.99677799999995,9.612373,483.87928200000005,203.710883
453600,1450.0,395.0,301.0,17.0,436.0,4.0,169.0,128.0
458500,193.0,57.0,27.0,0.0,55.0,8.0,7.0,39.0
410500,1961.344391,147.311744,544.6920950000001,47.123046,133.508209,15.167667999999999,777.1928839999999,296.348745
410600,1865.728626,242.426491,730.765983,29.46082,300.46018100000003,10.866411000000001,309.30375,242.44499
457800,585.414256,196.512688,126.402376,16.353968000000002,72.663488,2.0,89.495232,81.986504
457700,1331.585744,468.487312,183.597624,8.646032,295.33651199999997,14.0,209.504768,152.013496
452300,1585.615867,368.0766,169.04640600000002,16.561269,714.271607,7.119291,139.712506,170.82818799999998
373010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
450810,516.87293,40.29803,44.60008,0.0,404.84466599999996,0.0,7.609368,19.520785999999998
373020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
373030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300140,997.762804,282.862914,22.150454,2.000052,567.2110799999999,4.0,16.923082,102.615222
300190,970.9520849999999,255.75401499999998,15.612794999999998,1.01327,600.253525,0.0,9.0,89.31848
300150,1339.029798,447.240882,39.386746,0.986676,672.73527,3.0,22.0,153.680224
300200,1106.883084,301.436766,37.111729,5.0,590.7520119999999,3.024342,36.019135000000006,133.5391
300120,1253.098984,428.26202,37.622818,4.0,582.46052,3.0,39.834942000000005,157.918684
300110,1279.688404,424.518272,35.410752,1.0,565.523632,0.0,43.623924,209.611824
300180,1005.63168,360.97616,37.03712,0.34568,491.16136,1.69136,14.518559999999999,99.90144
300210,1120.55298,460.79801,43.77382,3.366355,481.293335,0.73271,21.38691,109.20184
300000,1195.7501720000002,405.81422000000003,36.5472,2.052824,600.43777,0.105648,29.900028000000002,120.892482
300130,1320.4966,482.64500200000003,52.594703,2.0,532.9524210000001,6.975657999999999,52.917497,190.41131900000002
300170,754.818854,307.87322300000005,10.252836,6.0,323.144923,2.0,10.635234,94.912638
452500,1973.826958,350.762917,193.623595,15.0,729.021347,23.0,444.774157,217.64494200000001
452400,2654.798252,685.043478,269.37289799999996,62.0,658.88621,15.0,715.2525820000001,249.24308399999998
458900,1612.913328,231.059463,73.013214,51.0,651.423629,14.0,379.059463,213.35755899999998
415500,1134.732857,71.932646,268.49650099999997,16.096535,93.897323,41.554456,507.23355100000003,135.52184499999998
453300,1618.2421399999998,377.83884,35.98674,19.0,641.6481,5.0,376.80823999999996,161.96022
373000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
416220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
452200,1467.900819,281.654949,119.825085,12.438731,755.8208360000001,15.880709,147.062731,135.217778
452000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
450620,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
450920,0.671318,0.037644,0.012548,0.0,0.5960300000000001,0.0,0.006274,0.018822
450910,8.034045,1.617015,0.17823,0.0,4.211756,0.0,1.0160609999999999,1.010983
450930,17.999802,5.999934,0.0,0.999989,0.999989,0.999989,1.999978,6.999923
458800,2417.434841,359.06723300000004,138.490755,35.774072000000004,1063.927021,31.72435,494.81169400000005,293.63971599999996
415800,2436.405375,165.894316,521.520299,67.501402,131.726679,52.919666,1242.174133,254.66888
415900,1318.049375,104.065184,430.286951,43.48884799999999,88.21482100000001,10.079584,506.61811700000004,135.29586999999998
