precinct,Precinct Pop.,Hispanic,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or more races
464660,112.706563,5.039805,91.29550300000001,0.291282,0.562164,8.829241,0.00391,0.00034,6.684318
464650,452.74324600000006,33.579694,188.528202,17.12502,1.10484,185.61312,6.35283,0.55242,19.88712
510160,35.396097000000005,7.046149,26.831361,0.170334,0.0,1.3482530000000001,0.0,0.0,0.0
510110,94.48627800000001,16.360352,61.236327,2.18337,0.40573800000000004,11.188460000000001,0.540984,0.40573800000000004,2.165309
510100,248.88918900000002,42.197855000000004,188.20352100000002,2.652896,0.11457200000000001,12.443591,0.019689,0.037597,3.219468
510200,96.050678,14.00534,77.833123,0.0,0.0,0.996045,0.233225,0.0,2.982945
510410,76.023425,26.26601,38.725765,0.0,0.0,11.0,0.0,0.0,0.03165
510400,197.473291,76.76977600000001,111.703515,3.0,0.0,5.0,0.0,1.0,0.0
510940,10.963678000000002,0.883844,9.805164000000001,0.0,0.0,0.0,0.0,0.27467,0.0
water,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
464300,0.091,0.002275,0.0728,0.01365,0.0,0.0,0.0,0.0,0.002275
464330,14.160298000000001,0.8530300000000001,11.601208,0.170606,0.341212,0.511818,0.0,0.0,0.682424
464600,361.304265,38.763396,241.009657,11.365846000000001,0.896984,46.348890999999995,3.3529400000000003,0.433947,19.132604
510840,158.57952399999996,7.505769,141.30772299999998,0.0,2.041054,3.0,0.0,0.724978,4.0
301520,1149.424438,128.98877299999998,557.5835890000001,131.01758900000002,3.880315,273.066472,2.823137,1.6922030000000001,50.37236
464030,0.08294,0.002045,0.066276,0.012498,7.6e-05,0.0,0.0,0.0,0.002045
464720,8.737615,1.197774,5.37205,0.28989699999999996,0.005484,1.3242869999999998,0.126864,0.010572,0.410687
510300,457.054007,44.867971,388.647877,7.0,1.0,3.1817409999999997,1.766775,0.0,10.589643
510800,154.58008900000002,24.8077,128.948156,0.0,0.0,0.422865,0.0,0.0,0.401368
301510,1128.6793759999998,110.850758,633.458142,56.946290000000005,4.655728,266.429082,3.928632,1.116528,51.294216
301400,1022.1465810000001,86.697508,594.36447,14.044043,2.536133,260.120117,2.734512,1.0,60.649798
400200,909.9357570000001,69.04162000000001,208.962159,537.4480609999999,1.999924,44.504868,1.08104,5.012073999999999,41.886011
400600,1169.722887,83.867166,364.52564500000005,580.738766,0.0,76.246342,2.910725,2.004402,59.429841
400700,922.985341,63.316719,127.555721,663.6023179999999,0.0,40.779782999999995,0.740654,1.986468,25.003678
373100,1455.821652,607.67683,15.016714,716.894112,1.016714,69.16714,21.050142,1.0,24.0
300300,1053.1586699999998,90.98514200000001,606.359478,17.276562999999996,1.003182,283.750405,2.0,3.0,48.7839
300400,1163.6812439999999,112.090495,676.5130760000002,38.813855999999994,3.772125,253.629041,6.0,0.700432,72.162219
400800,1222.787188,242.833854,95.368107,754.8770129999999,1.0,74.100837,6.000360000000001,1.0,47.607017
373110,4.40462,1.6417220000000001,0.040042,2.162268,0.040042,0.40042,0.12012600000000001,0.0,0.0
401100,1165.606262,181.90787,134.77347100000003,717.1267449999999,13.0,63.91133,10.799984,2.0,42.086861999999996
415510,1122.0675990000002,628.56979,21.564025,432.354449,0.5915790000000001,11.827536,2.565933,1.073602,23.520685
373300,10.947459000000002,6.919469,0.70052,3.32747,0.0,0.0,0.0,0.0,0.0
361600,6.193474,1.203025,1.0,3.990449,0.0,0.0,0.0,0.0,0.0
373400,1838.7974479999998,1220.892338,49.660819000000004,430.76749299999994,9.937674,40.512198000000005,58.029068,3.861484,25.136374
410400,1620.4441290000002,566.744528,62.159777000000005,893.2749859999998,2.0,46.486822000000004,4.970128,2.0,42.807888000000005
373600,2056.391929,1230.570332,51.95691999999999,581.353706,2.0593600000000003,138.92291,18.658189999999998,2.0,30.870510999999997
410200,2202.7137199999997,1335.4569040000001,52.980944,634.437848,10.0,60.914248,64.0,6.0,38.923776000000004
373700,2285.350548,1666.3401720000002,50.554961000000006,449.09108299999997,2.0,71.656485,18.343130000000002,1.0,26.364717000000002
410110,2527.42808,1363.78032,51.98548,893.85104,2.0,83.0,82.0,4.97096,45.84028
422900,1830.868069,629.559666,311.41035700000003,136.795919,2.592778,597.3841199999999,63.702088,1.8574480000000002,87.56569300000001
420320,0.488176,0.0,0.488176,0.0,0.0,0.0,0.0,0.0,0.0
420500,2487.8996000000006,699.1063750000001,498.219759,444.650352,13.818822,667.8210019999999,55.033478,9.591736000000001,99.658076
450800,1506.813055,89.460444,111.61995,168.748132,0.0,1104.349165,3.7230559999999997,2.0,26.912308
484010,15.400820999999997,3.4142749999999995,5.3839310000000005,0.612841,0.021237,5.249395,0.102497,0.014158,0.6024869999999999
450610,1396.7398079999998,107.00808199999999,473.715412,118.358792,1.749958,654.1035899999999,6.0,2.249874,33.554100000000005
450600,952.3070680000001,223.36238600000001,312.018009,44.22412,1.0,338.33563499999997,5.722106,1.0,26.644811999999998
451000,1645.869622,404.848208,494.61759200000006,79.183584,3.0,596.129769,2.0,3.535324,62.555145
452100,1037.33932,246.843245,288.95979800000003,49.254528,0.860418,410.039289,8.212174000000001,1.0,32.16986800000001
451600,2224.7679749999998,521.861454,635.8723150000001,68.79358199999999,4.139582,889.0365859999999,8.520795,3.0,93.543661
451900,1163.9943559999997,236.067077,300.34002200000003,22.971853,5.0,572.07579,3.7771179999999998,0.0,23.762496
