precinct,Precinct Pop.,Hispanic,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or more races
451600,2349.108733,542.6608229999999,403.358543,66.99106,4.999879,1218.8521150000001,15.000166,6.997883,90.248264
451900,1319.792021,270.027248,180.502918,34.971954,3.0934049999999997,779.8730489999999,9.099357,1.474159,40.749931000000004
451700,1754.1884479999999,483.813894,301.45616,65.387692,2.378856,802.792286,31.651992,14.568284,52.139283999999996
453700,1595.070674,399.34941200000003,267.149748,88.59899200000001,5.0,721.160127,17.0,10.049916,86.762479
453500,3567.75786,1389.24378,438.14586,190.01326,8.0,1397.3519,28.0,4.00102,113.00204
458300,646.480058,189.081482,175.778772,77.604062,4.006741,169.571278,0.000749,1.009737,29.427236999999998
457900,914.8230590000001,286.406618,286.09879,149.749202,1.807888,137.078206,0.673137,3.673137,49.336081
456100,1916.3088619999999,708.3280579999999,317.76980999999995,292.82766300000003,3.0,495.99677799999995,8.612373,18.490507,71.283673
453600,1450.0,305.0,354.0,289.0,1.0,432.0,4.0,9.0,56.0
458500,193.0,42.0,53.0,26.0,0.0,55.0,1.0,1.0,15.0
410500,1961.344391,1158.483346,57.218287999999994,526.839207,3.7454159999999996,133.508209,8.343535,9.718494,63.48789599999999
410600,1865.728626,592.330338,181.176131,715.063867,1.0,296.46018100000003,8.411382,11.733618,59.553109
457800,585.414256,170.711896,166.711896,121.402376,1.676984,72.663488,2.0,7.415872,42.831744
457700,1331.585744,362.288104,413.288104,182.597624,0.323016,290.33651199999997,10.0,6.584128,66.168256
452300,1585.615867,281.751227,324.612986,162.501102,5.470661,711.725489,6.119291,9.365592,84.06951900000001
373010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
450810,516.87293,25.21131,35.66594,44.60008,0.0,401.13899399999997,0.0,0.926418,9.330188
373020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
373030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300140,997.762804,59.713086,266.455644,21.951016,2.0,565.2110279999998,4.0,4.687784,73.744246
300190,970.9520849999999,41.06635,247.24738,15.612794999999998,0.0,599.2402549999999,0.0,0.0,67.785305
300150,1339.029798,95.93338,424.747544,34.386746,0.0,671.748594,3.0,5.0,104.213534
300200,1106.883084,97.01472199999999,281.732064,32.603931,1.0,585.7520119999999,3.024342,15.447517999999999,90.308495
300120,1253.098984,114.51032000000001,403.972542,35.384016,0.0,578.7782689999999,3.0,7.641248,109.81258899999999
300110,1279.688404,159.79032,394.533864,32.410752,1.0,561.523632,0.0,2.852688,127.577148
300180,1005.63168,67.39519999999999,352.67984,34.96304,0.0,483.66751999999997,1.69136,4.14816,61.08656
300210,1120.55298,74.2897,450.00549,39.575689999999994,0.0,476.53072,0.73271,5.39626,74.02241000000001
300000,1195.7501720000002,97.56604800000001,393.57108400000004,34.230256,0.0,593.7510580000001,0.105648,3.911384,72.614694
300130,1320.4966,169.80111699999998,458.006194,46.540742,0.0,530.634672,6.975657999999999,7.093266,101.44495099999999
300170,754.818854,52.742215,297.846775,10.252836,1.0,321.144923,2.0,2.0,67.832105
452500,1973.826958,708.397752,261.98876,178.623595,2.0,710.021347,21.0,3.849438,87.946066
452400,2654.798252,1101.5934320000001,534.838968,263.37289799999996,8.0,646.88621,15.0,13.13634,71.970404
458900,1612.913328,691.118926,134.364166,61.675476,6.0,637.085891,13.0,7.0,62.668869
415500,1134.732857,684.032624,35.920269,265.03858,1.819307,91.26268400000001,40.554456,4.915842,11.189095
453300,1618.2421399999998,559.75622,320.85414000000003,34.98674,2.0,637.6481,5.0,7.9989799999999995,49.99796
373000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
416220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
452200,1467.900819,283.059565,227.09723,119.37038899999999,2.5293390000000002,748.3669540000001,14.880709,3.64863,68.948003
452000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
450620,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
450920,0.671318,0.037644,0.025096,0.012548,0.0,0.5960300000000001,0.0,0.0,0.0
450910,8.034045,2.205274,1.34967,0.173152,0.0,4.211756,0.0,0.0,0.094193
450930,17.999802,16.999813,0.0,0.0,0.0,0.999989,0.0,0.0,0.0
458800,2417.434841,812.0994340000001,291.121135,128.52640300000002,9.0,1056.136744,31.72435,6.060919,82.765856
415800,2436.405375,1619.3879670000001,61.611869999999996,506.40064900000004,11.397852,126.302749,49.532609,10.755545,51.016134
415900,1318.049375,690.359283,39.37238,420.41410099999996,9.595398,86.64025100000002,9.466641,17.234704999999998,44.966616
415700,1074.8012079999999,663.602516,21.516041,283.89550199999996,7.768461,51.533568,17.878443,0.9073410000000001,27.699336
415600,1397.8561530000002,863.780768,28.509780999999997,345.285219,10.233525,70.488292,35.137444,9.104575,35.31654900000001
415400,1448.254644,1042.163099,64.78298799999999,232.340494,5.0,54.158864,8.325189,8.672653,32.811357
458200,1151.5626780000002,429.946993,257.739527,183.45855600000002,4.77515,207.72767000000002,11.0,7.9694389999999995,48.945342999999994
458100,1299.4693849999999,733.93614,224.238965,61.303815,7.22485,196.378585,5.0,12.14218,59.24485
415300,1936.1616929999998,1271.7368040000001,84.020376,404.91977,0.31805,81.21838399999999,11.674804,31.761954,50.511551000000004
415200,2272.584014,1453.1003059999998,78.19669400000001,636.7397599999999,3.68195,56.622817999999995,7.0,6.565392,30.677094
458910,7.257936,3.499362,0.907242,0.259212,0.0,2.527317,0.0,0.0,0.064803
458920,29.828736,14.381712,3.728592,1.065312,0.0,10.386792,0.0,0.0,0.266328
453400,2210.5651589999998,577.900566,242.87886500000002,420.473597,4.0,871.863256,14.27565,9.939081000000002,69.234144
458400,1190.064465,165.170931,82.236957,128.580941,1.0,785.4856460000001,1.0,7.0,19.58999
458310,597.967566,234.11663299999998,162.021449,48.23761,4.0,116.89369400000001,3.0,3.888378,25.809801999999998
410300,1841.927092,1284.186375,37.605589,356.09695099999993,4.2545839999999995,63.031613,29.245083,12.547896999999999,54.959
546010,1228.742663,624.249681,371.746491,82.749043,77.249681,65.249681,1.749043,0.0,5.749043
510920,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
866920,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
866910,39.0,4.0,25.0,0.0,0.0,5.0,1.0,0.0,4.0
867310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
867320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839500,83.97283999999999,2.99903,16.194761999999997,0.0,0.0,59.980599999999995,0.0,0.0,4.798448
838800,630.090395,14.797921,85.347319,2.0703389999999997,0.0,507.81009800000004,2.0,0.0,18.064718
839030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839120,8.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0
838120,811.764906,16.627186000000002,50.946994,2.633776,0.0,719.0754730000001,0.0,3.627186,18.854290999999996
838000,945.965223,31.024413000000003,177.48409900000001,3.7058400000000002,0.763828,694.6973090000001,0.0,2.0,36.289734
839400,368.3267890000001,0.43270000000000003,45.817758,1.114902,0.0,308.00518700000003,0.0,0.0,12.956242000000001
839000,33.99686,11.99843,6.0,3.0,0.0,10.499215,0.0,0.0,2.499215
830460,2.00314,1.00157,0.0,0.0,0.0,0.500785,0.0,0.0,0.500785
850700,38.396418000000004,9.364980000000001,4.6824900000000005,0.0,0.0,19.666458000000002,0.0,0.0,4.6824900000000005
867200,130.587008,39.238798,78.855678,0.0,0.0,9.57711,0.0,1.0,1.915422
867410,5.412928,0.761193,4.144273,0.0,0.0,0.422885,0.0,0.0,0.084577
839390,230.788392,1.481547,15.803168,1.481547,0.0,209.619473,0.0,1.481547,0.92111
839520,32.841405,0.0,4.00881,0.10279,0.0,27.599115,0.0,0.0,1.13069
839530,713.5157340000001,17.497349,56.755877,6.981403,1.0,606.540429,0.0,2.0,22.740675999999997
839100,1538.374899,30.738027,58.401887,31.825351,0.0,1370.221842,2.999999,9.637559,34.550234
839020,362.01059599999996,29.2583,19.495644,4.881328,0.0,302.523664,0.0,2.910996,2.940664
546000,1637.851588,189.45244399999999,417.128202,103.011928,7.036013,820.1706760000001,20.0,4.0,77.052325
839300,22.334498999999997,7.140809,6.610702,0.0,0.0,7.108418,0.0,1.1e-05,1.474559
839310,87.33137500000001,6.90012,32.747512,0.287505,0.0,45.671208,0.0,0.57501,1.15002
838300,1514.667028,76.814554,169.538913,6.0,0.0,1226.468942,6.0,4.0,25.844619
838200,2670.0,140.0,228.0,29.0,12.0,2203.0,1.0,10.0,47.0
838400,1666.639566,87.105742,242.82016599999997,11.0,6.0,1252.5433810000002,0.0,0.0,67.17027700000001
867110,30.34465,12.550288,9.325432,0.0,0.0,7.46893,0.0,0.0,1.0
520800,2906.408833,363.563435,508.794905,167.374755,6.449905,1716.407921,11.479541000000001,25.794575000000002,106.54379600000001
866840,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
546200,3372.0,387.0,872.0,231.0,12.0,1681.0,9.0,9.0,171.0
866800,462.108186,64.712162,320.464236,2.681356,0.0,41.483081999999996,4.999524,5.681356,22.08647
499000,12.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0
866820,144.867776,15.284744,104.51862799999999,1.318644,0.0,17.515252,0.0,0.318644,5.911864
870120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520720,107.0,8.0,45.0,2.0,0.0,43.0,0.0,0.0,9.0
870000,359.80951200000004,16.853068,228.195488,0.0,0.0,103.14080799999999,0.51134,1.497704,9.611104000000001
520760,738.828309,94.90043399999999,352.305315,14.821691999999999,0.0,245.731779,0.0,0.0,31.069088999999998
520840,761.000972,86.000022,413.00060199999996,3.0,0.0,176.000278,2.0,10.0,71.00007
870010,276.259827,27.795622,160.41828199999998,0.0,0.0,71.859118,0.48866,0.502294,15.195851000000001
520700,1156.170682,112.099444,290.694342,12.178296,5.0,637.26783,6.9999839999999995,6.9999839999999995,84.930802
520650,1644.0,136.0,558.0,59.0,3.0,797.0,5.0,18.0,68.0
522200,993.0,65.0,570.0,6.0,1.0,297.0,3.0,0.0,51.0
523600,1249.3522790000002,90.344733,650.1949700000001,6.159978,0.0,431.03815199999997,2.8113159999999997,1.284937,67.518193
520600,729.0,140.0,399.0,15.0,0.0,129.0,0.0,2.0,44.0
523800,1314.0,88.0,662.0,6.0,1.0,480.0,0.0,3.0,74.0
830400,4.883515,1.953406,0.0,0.0,0.0,0.976703,0.0,0.0,1.953406
838700,1810.3498590000002,117.485833,293.33757899999995,25.922214999999998,0.825311,1294.35875,7.0,13.475933,57.944238
839510,786.625086,22.261969,29.598112,6.174646,1.0,704.7781540000001,1.0,1.362441,20.449764000000002
838600,1441.3516349999998,81.657782,256.456533,16.910127000000003,0.174689,1026.21716,0.0,2.524067,57.411277000000005
838500,1732.991912,108.936089,303.846809,21.167658,0.0,1253.4117669999998,4.0,2.0,39.629589
464650,739.39418,65.983911,258.319992,18.250869,0.0,359.869699,0.0,2.8078260000000004,34.161883
475540,1453.1427319999998,100.81365199999999,312.84385199999997,50.74262,2.0,908.79665,0.0,11.199304,66.746654
475400,183.55747000000002,13.864562,58.468254,4.839558,0.0,97.18039300000001,0.0,0.909652,8.295051
464640,409.77024800000004,47.767111,196.420522,8.923297,0.0,126.68640900000001,0.0,2.330757,27.642152000000003
475520,836.918896,80.836791,254.282061,27.735789999999998,0.0,417.55394899999993,2.0,3.456652,51.053653
475500,952.4878779999999,97.406436,239.517284,37.011482,1.0,534.0227209999999,7.0,1.282444,35.247511
475530,67.390124,11.294014,24.495364000000002,4.46089,0.0,15.267600000000002,1.0,1.087828,9.784428
850410,1455.30339,359.3179,411.15895,37.0,1.0,531.66759,14.0,0.0,101.15895
422950,718.4736720000001,124.497422,33.26267,16.156154,0.0,515.0962040000001,9.50362,0.0,19.957602
422930,1105.59424,100.4704,90.44672,29.964480000000002,0.0,812.77184,16.0,4.0,51.940799999999996
492010,92.68868,34.420519,25.261557,6.0,0.0,12.503302,0.0,0.0,14.503302
850610,1280.8326849999999,628.645321,158.732176,20.130736,1.029433,400.304946,17.660032,5.003251,49.32679
422900,2017.627618,704.0525519999999,247.02492199999998,104.00112700000001,0.0,795.503438,72.18675,8.786578,86.07225100000001
492000,449.001216,34.273517,184.611178,9.524702999999999,0.0,185.382296,0.0,0.0,35.209522
422810,1546.697246,366.935302,144.490748,71.183566,1.0,872.68019,42.50093,9.412662000000001,38.493848
476100,1400.7473579999998,125.35539100000001,386.93790500000006,62.733325,0.0,737.6594950000001,0.0,5.45435,82.606892
850500,2933.7542949999997,1017.596613,384.07532399999997,86.31534599999999,3.970567,1220.5647199999999,50.339968,31.983467,138.90829
850600,2199.41302,902.758066,371.1925,140.553918,5.0,665.130334,36.0,11.013282,67.76492
422800,1247.876532,446.17586800000004,203.91666,40.510368,0.0,428.35357999999997,57.778114,9.2783,61.863642
492110,53.660264,5.9117239999999995,11.3687,0.454748,0.0,27.739628,0.0,0.0,8.185464
423300,1458.0546310000002,696.819938,265.09779000000003,70.61180999999999,7.0,306.99987699999997,41.248253999999996,9.000002,61.27696
492140,8.027424,0.0,5.351616,0.0,0.0,2.675808,0.0,0.0,0.0
492120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
491640,46.003163,3.001039,30.001701,2.0001640000000003,0.0,9.999528000000002,0.000253,1.2e-05,1.000466
820000,27.146155,5.9527600000000005,8.382069000000001,5.811508,0.0,0.999974,0.0,0.0,5.999844
851500,1185.960828,257.89451399999996,406.942903,38.406185,1.027032,389.30875,22.526566,2.101702,67.753176
851800,1636.3634939999997,468.560969,370.176587,52.434777,4.567155,596.419494,45.748154,6.076938,92.37942
831830,1064.454448,265.268007,223.820655,24.215687,0.0,474.341794,21.970139,8.52638,46.311786
491600,308.422089,78.224876,159.62439700000002,14.795071,0.0,42.156107000000006,0.0,3.999756,9.621882000000001
490040,19.40544,3.8813940000000002,11.642958,0.970306,0.0,0.0,0.970238,0.0,1.940544
433800,530.933905,67.903252,259.4402,42.060595,0.0,133.355765,3.352627,2.8727519999999998,21.948714
491630,179.135896,51.084636,72.142981,9.998558,0.0,21.6416,0.999857,0.0,23.268264000000002
499020,8.378874,1.196982,5.98491,0.0,0.531992,0.531992,0.0,0.0,0.132998
498300,40.161806999999996,5.737401,28.687005,0.0,2.549956,2.549956,0.0,0.0,0.637489
851900,1357.0,534.0,278.0,63.0,5.0,412.0,9.0,14.0,42.0
831930,2087.035591,762.9392780000001,331.082402,78.293203,1.437453,782.967191,38.029861,7.943015,84.343188
831810,1248.9874009999999,260.028478,305.852242,39.598297,4.0,581.072079,1.461352,5.137605,51.837348000000006
831800,1669.773988,261.66162199999997,361.60391000000004,58.458462,1.0,888.777772,15.156412,4.625648,78.490162
423620,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
423610,1725.0,427.0,287.0,90.0,3.0,840.0,19.0,8.0,51.0
491650,13.798262,1.86463,4.848038,0.0,0.0,3.356334,0.0,0.0,3.72926
433710,717.3336999999999,96.375615,192.80412800000002,119.147414,2.0,264.325457,4e-06,0.0,42.681081999999996
433610,1193.941988,205.080371,384.27766199999996,131.934997,0.07013,375.737368,8.327245000000001,7.000002,81.514213
433600,500.85713400000003,76.086957,103.313606,38.117759,3.283826,256.64898,6.991212,1.0,15.414794
823020,0.004116,0.000105,0.003409,1.4e-05,0.0,0.000364,0.0,1.4e-05,0.00021
821130,512.4105069999999,57.33678299999999,228.777581,16.645616999999998,0.0,187.06481499999998,3.217933,0.708144,18.659634
831820,709.886042,126.38225100000001,188.916201,17.352631,0.0,322.670176,4.382236,4.7674330000000005,45.415114
831510,1531.139582,185.437338,357.11908800000003,34.453152,4.177721,892.0370989999999,2.99778,8.079646,46.837758
831500,1650.677354,205.18737600000003,351.77450500000003,40.796276,5.822279,984.450317,1.00222,4.920354,56.72402700000001
831310,1660.322164,152.63687199999998,256.916822,34.659217999999996,0.0,1100.934826,11.0,8.886406000000001,95.28802
423630,14.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,8.0
831210,1253.4056110000001,129.948239,264.107118,21.542147,0.6252409999999999,748.369959,2.849751,10.730868000000001,75.232288
490200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
811000,6.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
823010,184.46883400000002,56.488064,66.19695,0.882626,0.0,44.1313,0.0,0.882626,15.887268
821400,1694.681314,409.49018099999995,264.497223,65.189814,4.0,876.8425139999999,13.054778,2.515349,59.091455
821500,1633.3062160000002,245.502764,250.50114500000004,72.810208,5.999993,923.1556830000001,34.944709,9.484184,90.90753000000001
821510,1410.580888,499.149237,118.57052,48.091198,1.290958,656.213003,50.769597,1.9015279999999999,34.594847
423700,38.557824000000004,11.458698,7.805166,9.239578999999999,0.0,4.279744,2.779119,1.159642,1.835876
810900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
810910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
424510,398.999855,100.999964,125.99993599999999,33.999986,2.999997,103.999979,5.9999970000000005,1.0,23.999996
424400,1534.0313990000002,656.2852609999999,232.403257,179.367784,1.642898,383.011441,31.279434000000002,3.0,47.041324
821600,1050.6347299999998,468.596303,86.275288,22.782275999999996,4.8779319999999995,388.95992900000005,33.230403,7.0,38.912599
823300,1932.74345,1182.780996,126.45729700000001,88.272003,4.8311150000000005,489.684615,13.618755,4.0,23.098669
423800,135.817135,41.775997,22.323547,30.184416,8.000081,13.090906,8.593681,3.8407630000000004,8.007744
424500,508.0,188.0,132.0,24.0,1.0,133.0,6.0,0.0,24.0
823000,1118.48968,538.3019340000001,132.209163,65.853371,1.0,343.301136,5.999948,2.0,29.824128
