election,competitive_ratio,condorcet_failure,condorcet_cycle,upward_monotonicity_failure,downward_monotonicity_failure,compromise_failure,repeal,sources
Moab_11022021_CityCouncil,0.5896805896805897,x,,x,,x,x,[]
Alaska_08162022_HouseofRepresentativesSpecial,-1,x,,x,,x,,[]
